,Name,Genre,Year_of_Release,Publisher,Global_Sales,Critic_Score,User_Score
302,Tom Clancy's Rainbow Six: Vegas,Shooter,2006,Ubisoft,3.9400000000000004,88.0,83.0
303,Professor Layton and the Diabolical Box,Puzzle,2007,Nintendo,3.94,84.0,88.0
304,NBA Live 2005,Sports,2004,Electronic Arts,3.94,85.0,81.0
305,World Soccer Winning Eleven 8 International,Sports,2004,Konami Digital Entertainment,3.94,91.0,91.0
306,The Sims 2: Pets,Simulation,2006,Electronic Arts,3.94,76.0,80.0
307,Mortal Kombat vs. DC Universe,Fighting,2008,Midway Games,3.9299999999999997,76.0,75.0
308,Star Wars: The Force Unleashed II,Action,2010,LucasArts,3.9299999999999993,71.0,78.0
309,Max Payne 3,Shooter,2012,Take-Two Interactive,3.9000000000000004,87.0,78.0
310,EA Sports Active,Sports,2009,Electronic Arts,3.9,81.0,87.0
311,Monster Hunter 4 Ultimate,Role-Playing,2014,Nintendo,3.89,86.0,87.0
312,Tekken 5,Fighting,2005,Namco Bandai Games,3.87,88.0,86.0
313,MotorStorm,Racing,2006,Sony Computer Entertainment,3.87,84.0,74.0
314,Mortal Kombat: Deadly Alliance,Fighting,2002,Midway Games,3.87,81.0,88.0
315,Sports Champions,Sports,2010,Sony Computer Entertainment,3.84,76.0,79.0
316,Flash Focus: Vision Training in Minutes a Day,Misc,2007,Nintendo,3.83,59.0,40.0
317,UFC 2009 Undisputed,Fighting,2009,THQ,3.8200000000000003,84.0,81.0
318,Sonic Mega Collection Plus,Misc,2004,Sega,3.81,75.0,86.0
319,Big Brain Academy: Wii Degree,Misc,2007,Nintendo,3.79,68.0,69.0
320,Dragon Ball Z: Budokai,Fighting,2002,Atari,3.78,67.0,79.0
321,Tom Clancy's Rainbow Six: Siege,Shooter,2015,Ubisoft,3.78,79.0,73.0
322,Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,Ubisoft,3.78,82.0,79.0
323,The Sims: Unleashed,Simulation,2002,Electronic Arts,3.76,79.0,80.0
324,Madden NFL 15,Sports,2014,Electronic Arts,3.76,81.0,64.0
325,WWE SmackDown vs. RAW 2007,Fighting,2006,THQ,3.74,81.0,86.0
326,BioShock 2,Shooter,2010,Take-Two Interactive,3.74,88.0,82.0
327,Overwatch,Shooter,2016,Activision,3.7300000000000004,91.0,68.0
